"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 08 10:26:46 GMT 2023","Wed Feb 08 10:26:52 GMT 2023","6899","firefox","pagination.spec.js","pagination tests","","","elements on the first page are the same after paging",""
"passed","Wed Feb 08 10:27:00 GMT 2023","Wed Feb 08 10:27:02 GMT 2023","2448","firefox","signIn.spec.js","sign in tests","","","sign in with existing user",""
"passed","Wed Feb 08 10:26:53 GMT 2023","Wed Feb 08 10:26:57 GMT 2023","4065","firefox","product.spec.js","product items tests","","","product title is the same in main and product pages",""
"passed","Wed Feb 08 10:26:28 GMT 2023","Wed Feb 08 10:26:32 GMT 2023","3629","firefox","pagination.spec.js","pagination tests","","","elements on the second page are different",""
"passed","Wed Feb 08 10:25:29 GMT 2023","Wed Feb 08 10:25:36 GMT 2023","7345","firefox","about.spec.js","about-us tests","","","about-video is presents",""
"passed","Wed Feb 08 10:25:47 GMT 2023","Wed Feb 08 10:25:57 GMT 2023","10324","firefox","cart.spec.js","cart-tests","","","deleting item from cart",""
"passed","Wed Feb 08 10:26:03 GMT 2023","Wed Feb 08 10:26:06 GMT 2023","2539","firefox","login.spec.js","login tests","","","login with wrong user name",""
"passed","Wed Feb 08 10:25:40 GMT 2023","Wed Feb 08 10:25:47 GMT 2023","6880","firefox","cart.spec.js","cart-tests","","","adding items to cart",""
"passed","Wed Feb 08 10:25:57 GMT 2023","Wed Feb 08 10:26:00 GMT 2023","3045","firefox","categories.spec.js","category menu tests","","","items filtered by category Laptops",""
"passed","Wed Feb 08 10:26:25 GMT 2023","Wed Feb 08 10:26:28 GMT 2023","2963","firefox","order.spec.js","place order tests","","","placing the order without credentials",""
"passed","Wed Feb 08 10:26:08 GMT 2023","Wed Feb 08 10:26:13 GMT 2023","4551","firefox","login.spec.js","login tests","","","can successfully login into account",""
"passed","Wed Feb 08 10:26:00 GMT 2023","Wed Feb 08 10:26:03 GMT 2023","3120","firefox","contact.spec.js","Send message","","","Send message with filled user info",""
"passed","Wed Feb 08 10:26:13 GMT 2023","Wed Feb 08 10:26:25 GMT 2023","12495","firefox","order.spec.js","place order tests","","","placing order",""
"passed","Wed Feb 08 10:26:06 GMT 2023","Wed Feb 08 10:26:08 GMT 2023","2370","firefox","login.spec.js","login tests","","","login with wrong password",""
"passed","Wed Feb 08 10:26:57 GMT 2023","Wed Feb 08 10:27:00 GMT 2023","2571","firefox","product.spec.js","product items tests","","","product price is the same in main and product pages",""
"passed","Wed Feb 08 10:25:36 GMT 2023","Wed Feb 08 10:25:40 GMT 2023","4162","firefox","about.spec.js","about-us tests","","","about-us pop-up is closable",""
