"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 18 15:43:05 EET 2023","Wed Jan 18 15:43:13 EET 2023","7845","firefox","order.spec.js","place order tests","","","placing order",""
"failed","Wed Jan 18 15:43:17 EET 2023","Wed Jan 18 15:43:30 EET 2023","12475","Mobile Safari","login.spec.js","login tests","","","can successfully login into account",""
"passed","Wed Jan 18 15:43:05 EET 2023","Wed Jan 18 15:43:16 EET 2023","10668","firefox","login.spec.js","login tests","","","can successfully login into account",""
"failed","Wed Jan 18 15:43:05 EET 2023","Wed Jan 18 15:43:13 EET 2023","7896","webkit","order.spec.js","place order tests","","","placing order",""
"passed","Wed Jan 18 15:43:05 EET 2023","Wed Jan 18 15:43:25 EET 2023","19429","webkit","login.spec.js","login tests","","","can successfully login into account",""
"failed","Wed Jan 18 15:43:14 EET 2023","Wed Jan 18 15:43:21 EET 2023","6878","Mobile Chrome","order.spec.js","place order tests","","","placing order",""
"passed","Wed Jan 18 15:43:26 EET 2023","Wed Jan 18 15:43:31 EET 2023","5261","Google Chrome","login.spec.js","login tests","","","can successfully login into account",""
"failed","Wed Jan 18 15:43:24 EET 2023","Wed Jan 18 15:43:29 EET 2023","5036","Mobile Safari","order.spec.js","place order tests","","","placing order",""
"passed","Wed Jan 18 15:43:14 EET 2023","Wed Jan 18 15:43:25 EET 2023","11016","Mobile Chrome","login.spec.js","login tests","","","can successfully login into account",""
"failed","Wed Jan 18 15:43:26 EET 2023","Wed Jan 18 15:43:29 EET 2023","2055","Google Chrome","order.spec.js","place order tests","","","placing order",""
